character_id,character_name,rarity,birth_year,death_year,faction,season,age,stage,character_type,luck,courage,command,combat,intelligence,politics,charisma,skill_1,skill_2,bond,biography,description
char_san_1101,刘备,core,161,223,刘备,S1,23,early,balanced,8.6,9,9.4,8.1,7.9,9.4,7.9,skill_1_5003,skill_2_5004,桃园;汉室宗亲,《先主传》,汉室宗亲。中山靖王之后，少孤贩履。灵帝末讨黄巾有功，除安喜尉，后弃官。
char_san_1102,关羽,legendary,160,220,刘备,S1,24,early,military,8.5,10,8.4,9,7,7.4,6.8,skill_1_4004,skill_2_4012,桃园;五虎;无双,《关羽传》,义薄云天。字云长，河东解人。亡命奔涿郡，随刘备起兵，与张飞为御侮。
char_san_1103,张飞,legendary,165,221,刘备,S1,19,early,military,10,7.3,10,10,7,6.7,7.1,skill_1_4002,skill_2_4012,桃园;五虎;无双,《张飞传》,喝断长坂。字益德，涿郡人。少与关羽俱事先主，羽年长数岁，飞兄事之。
char_san_1104,简雍,epic,161,243,刘备,S1,23,early,strategist,9.4,6.3,7.4,6.3,8.6,7.9,7.7,skill_1_3006,skill_2_3004,蜀汉文臣,《文臣合传》,字宪和，涿郡人。少与刘备善，随从周旋，为昭德将军。
char_san_1105,苏双,rare,150,200,刘备,S1,34,peak,strategist,8.4,4.9,7.8,5.6,7.1,7,8.4,skill_1_2006,skill_2_2001,无,《三国志》,演义衍生人物
char_san_1106,张世平,rare,150,200,刘备,S1,34,peak,strategist,6.5,5.3,6.8,6.8,8.4,7.8,6.6,skill_1_2003,skill_2_2003,无,《三国志》,演义衍生人物
char_san_1107,李立,common,150,200,刘备,S1,34,peak,military,7.9,7.3,6.2,7.5,5.4,5.6,4.8,skill_1_1006,skill_2_1004,无,《三国志》,演义衍生人物
char_san_1108,郭常,common,150,200,刘备,S1,34,peak,military,7.9,6.8,7.9,6.6,5.7,5.3,6.9,skill_1_1005,skill_2_1005,无,《三国志》,演义衍生人物
char_san_1109,刘辟,common,150,200,刘备,S1,34,peak,military,7.9,7.7,5.8,7.9,6.3,6.3,4.8,skill_1_1001,skill_2_1003,无,《三国志》,演义衍生人物
char_san_1110,龚都,common,150,200,刘备,S1,34,peak,military,6.3,5.6,7.9,7.9,4.7,5.4,7.3,skill_1_1001,skill_2_1001,无,《三国志》,演义衍生人物
char_san_1201,曹操,core,155,220,曹操,S1,29,peak,balanced,8.9,8.2,9.5,7.8,8.5,8.8,8.1,skill_1_5003,skill_2_5003,魏武;曹氏,《武帝纪》,乱世奸雄。字孟德，沛国谯人。灵帝时拜骑都尉，讨颍川黄巾，迁济南相，后为典军校尉。
char_san_1202,夏侯惇,legendary,157,220,曹操,S1,27,peak,military,10,6.9,10,9.8,7.5,9.7,3.5,skill_1_4003,skill_2_4007,魏武;夏侯;曹氏,《夏侯惇传》,曹操族弟。 字元让，沛国谯人。太祖初起，惇常为裨将，从征伐。
char_san_1203,夏侯渊,legendary,160,219,曹操,S1,24,early,military,10,8.1,9.6,9.4,4.3,8.5,8,skill_1_4002,skill_2_4002,魏武;夏侯;曹氏,《夏侯渊传》,曹操族弟。字妙才，惇族弟。太祖起兵，以别部司马、骑都尉从。
char_san_1204,曹仁,epic,168,223,曹操,S1,16,early,military,9.4,7.4,8.9,8,6.2,6.4,7.4,skill_1_3005,skill_2_3002,曹氏,《曹仁传》,曹操从弟。字子孝，少好弓马，后豪杰并起，阴结少年从太祖。
char_san_1205,曹纯,epic,170,210,曹操,S1,14,early,military,7.9,6.2,9,9.4,8,5.9,7.2,skill_1_3006,skill_2_3004,曹氏,《曹仁传》,曹仁之弟
char_san_1206,曹洪,epic,170,232,曹操,S1,14,early,military,9.3,8.5,7.2,7.2,8.7,6,6.1,skill_1_3002,skill_2_3006,曹氏,《曹洪传》,曹操从弟。字子廉，太祖讨董卓败于荥阳，洪以马与太祖，得脱。
char_san_1207,乐进,rare,158,218,曹操,S1,26,peak,military,8.4,8.4,6.8,8.4,6.7,6.8,5.2,skill_1_2002,skill_2_2001,魏武;五子良将,《乐进传》,曹操部将。字文谦，阳平卫国人。从曹操起兵，每战先登，迁右将军。
char_san_1208,于禁,rare,164,221,曹操,S1,20,early,military,8.4,7.1,7.6,7.7,7.8,5.4,4.9,skill_1_2005,skill_2_2003,魏武;五子良将,《于禁传》,曹操部将。字文则，泰山钜平人。曹操麾下名将，襄樊之战兵败投降关羽，后羞愧而死。
char_san_1209,吕虔,common,155,228,曹操,S1,29,peak,military,7.9,7.5,6.9,6,5.2,7,6.3,skill_1_1001,skill_2_1003,无,《吕虔传》,曹操部将
char_san_1210,张邈,common,150,195,曹操,S1,34,peak,military,6.4,7.9,6.2,7.6,7.5,5.5,4.5,skill_1_1006,skill_2_1002,无,《张邈传》,曹操盟友。字孟卓，东平寿张人。灵帝时为陈留太守，以侠闻。
char_san_1211,张超,common,152,195,曹操,S1,32,peak,military,7.5,7.9,7.1,6.6,5.9,4.5,7,skill_1_1001,skill_2_1003,无,《张超传》,张邈之弟
